title,primary_muscle_group,equipment,secondary_muscle_groups,id,type
Thruster (Barbell),full_body,barbell,[],90E506D5,weight_reps
Thruster (Kettlebell),full_body,kettlebell,[],10313AFD,weight_reps
Toes to Bar,abdominals,none,forearms,B94E35E1,reps_only
Toe Touch,abdominals,none,[],75BAC5C3,reps_only
Torso Rotation,abdominals,machine,[],FBB62888,weight_reps
Treadmill,cardio,machine,[],243710DE,distance_duration
Triceps Dip,triceps,machine,"chest, shoulders",28BB4A95,reps_only
Triceps Dip (Assisted),triceps,machine,"chest, shoulders",4B4BF8C2,bodyweight_assisted
Triceps Dip (Weighted),triceps,machine,"chest, shoulders",10347BAC,bodyweight_weighted
Triceps Extension (Barbell),triceps,barbell,[],2F8D3067,weight_reps
Triceps Extension (Cable),triceps,machine,[],21310F5F,weight_reps
Triceps Extension (Dumbbell),triceps,dumbbell,[],3765684D,weight_reps
Triceps Extension (Machine),triceps,machine,[],3092FADD,weight_reps
Triceps Extension (Suspension),triceps,suspension,[],6182EE83,reps_only
Triceps Kickback (Cable),triceps,machine,[],EC3B69A3,weight_reps
Triceps Kickback (Dumbbell),triceps,dumbbell,[],6127A3AD,weight_reps
Triceps Pressdown,triceps,machine,[],CDC472B1,weight_reps
Triceps Pushdown,triceps,machine,[],93A552C6,weight_reps
Triceps Rope Pushdown,triceps,machine,[],94B7239B,weight_reps
Upright Row (Barbell),shoulders,barbell,"traps, upper_back, biceps, forearms",7AB9A362,weight_reps
Upright Row (Cable),shoulders,machine,"traps, upper_back, biceps, forearms",286C1D0B,weight_reps
Upright Row (Dumbbell),shoulders,dumbbell,"traps, upper_back, biceps, forearms",797F0782,weight_reps
Vertical Traction (Machine),lats,machine,"upper_back, biceps, forearms",72880C57,weight_reps
V Up,abdominals,none,[],6BE68B62,reps_only
Waiter Curl (Dumbbell),biceps,dumbbell,forearms,72297E8C,weight_reps
Walking,cardio,none,[],33EDD7DB,distance_duration
Walking Lunge,quadriceps,none,"glutes, hamstrings",32HKJ34K,reps_only
Walking Lunge (Dumbbell),quadriceps,dumbbell,"glutes, hamstrings",A733CC5B,short_distance_weight
Wall Ball,full_body,other,[],A1F47ACC,weight_reps
Wall Sit,quadriceps,other,abdominals,C8706C80,duration
Warm Up,full_body,none,[],79EF4E4F,duration
Wide-Elbow Triceps Press (Dumbbell),triceps,dumbbell,"chest, shoulders",B31EB524,weight_reps
Wide Pull Up,lats,machine,"upper_back, biceps, forearms",7C50F118,reps_only
Wrist Roller,forearms,machine,shoulders,0E4523F4,weight_reps
Yoga,full_body,none,[],8C9D2928,duration
Zercher Squat,quadriceps,barbell,"hamstrings, glutes, biceps",40C6A9FC,weight_reps
Zottman Curl (Dumbbell),biceps,dumbbell,forearms,123EE239,weight_reps
